АВІАЦІЙНИЙ ТРАНСПОРТ-Катастрофи-2012,2
АВІАЦІЙНИЙ ТРАНСПОРТ-Аварії-2012,4
АВІАЦІЙНИЙ ТРАНСПОРТ-Серйозні інциденти-2012,6
АВІАЦІЙНИЙ ТРАНСПОРТ-Інциденти-2012,116
АВІАЦІЙНИЙ ТРАНСПОРТ-Загинуло-2012,8
АВІАЦІЙНИЙ ТРАНСПОРТ-Травмовано-2012,17
ВОДНИЙ ТРАНСПОРТ-Дуже серйозні аварії (катастрофи)-2012,3
ВОДНИЙ ТРАНСПОРТ-Серйозні аварії-2012,12
ВОДНИЙ ТРАНСПОРТ-Серйозні інциденти-2012,4
ВОДНИЙ ТРАНСПОРТ-Інциденти-2012,7
ВОДНИЙ ТРАНСПОРТ-Загинуло-2012,9
ВОДНИЙ ТРАНСПОРТ-Травмовано-2012,4
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Катастрофи-2012,0
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Аварії-2012,1
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Серйозні інциденти-2012,27
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Інциденти-2012,721
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Загинуло-2012,0
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Травмовано-2012,10
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-ДТП-2012,393
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Загинуло-2012,2
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Травмовано-2012,86
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-ДТП-2012,1989
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Загинуло-2012,75
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Травмовано-2012,781
АВІАЦІЙНИЙ ТРАНСПОРТ-Катастрофи-2013,1
АВІАЦІЙНИЙ ТРАНСПОРТ-Аварії-2013,7
АВІАЦІЙНИЙ ТРАНСПОРТ-Серйозні інциденти-2013,4
АВІАЦІЙНИЙ ТРАНСПОРТ-Інциденти-2013,103
