amount,port,lat,lon
3,Бердянський морський порт,46.750556,36.779167
3,Білгород-Дністровський морський порт,46.183333,30.333333
3,Ізмаїльський морський порт,45.339111,28.797361
3,Маріупольський морський порт,47.055833,37.505
3,Миколаївський морський порт,46.949768,32.004808
3,Морський порт "Усть-Дунайськ",45.466993,29.711874
3,Морський порт "Южний",46.616667,31.025833
3,Ренійський морський порт,45.418389,29.288917
3,Скадовський морський порт,46.106487,32.912591
3,СМП "Октябрьск",46.831684,31.957937
3,Херсонський морський порт,46.624398,32.613299
3,Одеський морський порт,46.485185,30.748082
3,Іллічівський морський порт,46.310355,30.656596
