Назва морського порту,Рік,Місяць,Портовий оператор,"Причал, номер",Вид вантажу,Напрямок,Обсяг переробленного вантажу,Одиниця виміру
Бердянський морський порт,2013,Серпень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,"28,5",тис. тонн
Бердянський морський порт,2013,Серпень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"29,1",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Будівельні,Розвантаження,"3,2",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"34,4",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,"14,7",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,3,тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"36,2",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,12,тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,3,Інші тарно-штучні вантажі,Розвантаження,"0,9",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,3,Кокс,Навантаження,"5,5",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,4,Вугілля,Навантаження,"3,5",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"2,2",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Чорні метали - всього,Розвантаження,"1,5",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,"6,3",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Вугілля,Навантаження,"16,3",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Кокс,Навантаження,"27,1",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Нафтопродукти,Розвантаження,"12,6",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,"5,8",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Вугілля,Навантаження,"10,2",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"9,7",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Чорні метали - всього,Розвантаження,"1,1",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"6,1",тис. тонн
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,"14,3",тис. тонн
